No.,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,TK PRIA,TK WANITA,TOTAL TK,JENIS USAHA
552,"Mitra Dana Putra Utama Finance, PT.",Ruko Sokarno Hatta Indah,0,0,0,Keuangan/ Finance
553,"Mitra Pinasthika Mustika Finance, PT.",Jl. Letjend. Sutoyo 50A,22,5,27,Keuangan/ Finance
554,"Olympindo Multi Finance, PT.",Jl. Letjend. Sutoyo 27E-F,3,5,8,Keuangan/ Finance
555,"Sasana Artha Finance, PT.",Jl. Basuki Rachmad 71-73,89,16,105,Keuangan/ Finance
556,"Sinar Mas Multi Finance, PT.",Jl. Basuki Rahmad 58,15,20,35,Keuangan/ Finance
557,"Sinar Mitra Sepadan Finance, PT.",Jl. Raya Langsep 27 E,8,2,10,Keuangan/ Finance
558,"SMS Finance, PT.",Jl. Raya Langsep 276,11,3,14,Keuangan/ Finance
559,"Summit Oto Finance, PT.",Jl. Letjend. S. Parman 56 Kav. B4-B6,72,7,79,Keuangan/ Finance
560,"Suzuki Finance Ind, PT.",Jl. Letjend. S. Parman 54,73,14,87,Keuangan/ Finance
561,"Toyota Astra Financial Services, PT.",Jl. Letjend. Sutoyo 3A,20,4,24,Keuangan/ Finance
562,"Verena Multi Finance, PT.",Jl. Letjend. S. Parman 56,18,4,22,Keuangan/ Finance
563,Wahana Ottomitra Multiartha Finance,Jl. Sukarno Hatta Kav. A2 No. 1-2,30,24,54,Keuangan/ Finance
564,Gudang Waru Agung,Jl. Taman Tenaga 9-11,14,3,17,Keuangan/ Gudang
565,KOP. Pegawai Swadharma (BNI),Jl. Basuki Rachmad 75-77,17,4,21,Keuangan/ Koperasi
566,Kopegtel Malang,Jl. A. Yani 11,54,34,88,Keuangan/ Koperasi
567,Kopkar BTN. Malang,Jl. A. I. Suryani 2-4,43,4,47,Keuangan/ Koperasi
568,Kopkar RS. Lavalette,Jl. W. R. Supratman 10,3,3,6,Keuangan/ Koperasi
569,Kopwan Setia Budi Wanita,Jl. Trunojoyo 76,22,18,40,Keuangan/ Koperasi
570,Kosabra,Jl. Surabaya 3,12,17,29,Keuangan/ Koperasi
571,KPRI. Bhakti Adiguna,Jl. Surabaya 2A,24,0,24,Keuangan/ Koperasi
572,KSP. Artha Mitra Karya,Jl. R. T. Suryo 100,4,3,7,Keuangan/ Koperasi
573,KSP. Kusuma Artha Lestari,Jl. MT. Haryono 171 Kav. E,8,6,14,Keuangan/ Koperasi
574,KSU. Delta Mandiri,Jl. A. Yani 18C,6,5,11,Keuangan/ Koperasi
575,Kop.Perhutani Biro Perencanaan,Jl. Kawi 9,19,0,19,Keuangan/ Kopkar
576,"Adira Dinamika Multi Finance, PT.",Jl. Jagung Suprapto 56,174,31,205,Keuangan/ Leasing
577,MNC Finance,Jl. Letjend. Sutoyo 121-121A,13,3,16,Keuangan/ Pembiayaan
578,"Otto Multiartha, PT.",Jl. Jagung Suprapto 85,40,4,44,Keuangan/ Pembiayaan
579,"Radana Bhaskara Finance, PT, Tbk",Jl. S. Parman 82 Kav. 1,43,7,50,Keuangan/ Pembiayaan
580,Trimegah Securities Tbk,Jl. soekarno hatta MP-35,3,1,4,keuangan/securitas
581,PT. Kembang Delapan Multifinance,Jl. Ahmad Yani No. 49,8,4,12,Keuangan
582,Ayam Bakar Wong Solo,Jl. Arjuna,35,24,59,Perdaganga/ Restoran
583,"Ace Hardware, Tbk. PT.",Jl. Kawi 24 (MOG),72,24,96,Perdagangan
584,"Agri Servis Sakti, PT.",Perum Bukit Hijau B Kav 39,8,2,10,Perdagangan
585,"Ajinomoto Sales Ind, PT.",Jl. A. Yani Utara RT. 2 RW. 1,20,0,20,Perdagangan
586,"Almas Jaya Internusa,PT",Jl. Batubara 2A,2,1,3,Perdagangan
587,"Altara, Toko",Jl. Pasar Besar 77,17,43,60,Perdagangan
588,"Andi Motor, CV.",Jl. Syarif Al Qodri 17-19,9,3,12,Perdagangan
589,"Aneka Makmur Pratama, UD.",Jl. Letjend. Sutoyo 112,12,13,25,Perdagangan
590,"Angger, UD.",Jl. S. Priyo Sudarmo 26,1,3,4,Perdagangan
591,"Antar Mitra Sembada, PT.",Jl. Blauran 8,55,10,65,Perdagangan
592,"Anugerah Argon Medica, PT",Jl. Simpang Ranugrati 20 Malang,27,13,40,Perdagangan
593,"Anugrah Argon Medica, PT.",Jl. Simpang Ranugrati 20,27,13,40,Perdagangan
594,Apotik Djaya Sehat,Jl. Pasar Besar 90 Malang,0,0,0,Perdagangan
595,"Ardendi Jaya Sentosa, PT.",Jl. Soekarno Hatta A 6,16,6,22,Perdagangan
596,"Arta Boga Cemerlang, PT.",Jl. S. P. Sudarmo 27,145,30,175,Perdagangan
597,"Atri Distribusindo, PT.",Jl. Simp. LA. Sucipto 20,28,3,31,Perdagangan
598,"Avan Satria Grosirindo, CV.",Jl. D. Toba B-12A,14,22,36,Perdagangan
599,"Avia, Tk.",Jl. Jagung Suprapto 1,5,7,12,Perdagangan
600,"Batik Keris, PT.",Jl. Merdeka Timur 2D/E,7,11,18,Perdagangan
601,"Batik Keris, PT.",MOG. Blok SS 59-61 Jl. Kawi,4,5,9,Perdagangan
602,"Bentoel Distribusi Utama, PT",Jl. Susanto 2B,128,2,130,Perdagangan
603,"Berkat Sejati Jaya, PT",Jl. Raya Bandulan 9,42,13,55,Perdagangan
604,"Besi Sinar Mas, Tk.",Jl. Sultan Sahrir 109 A,63,7,70,Perdagangan
605,"Bhikarya Sentosa (Plaza Dieng), PT.",Jl. Raya Langsep 2A,35,6,41,Perdagangan
606,"Bina San Prima, PT.",Jl. A. Yani 138,78,30,108,Perdagangan
607,"Bintang Mahkota Jaya, UD./ Sunny Boy",Jl. Simp. Tenaga II/8,27,4,31,Perdagangan
608,Bintang Mas,Jl. Gatot Subroto 79,28,13,41,Perdagangan
609,Blackstone Indomobile,Ruko Dinoyo 21 Jl. MT. Haryono,2,5,7,Perdagangan
610,"Blackstone Indomobile, CV.",Jl. BS. Riyadi 27,5,5,10,Perdagangan
611,"Blackstone Indomobile, CV.",Jl. BS. Riyadi 19,5,5,10,Perdagangan
612,"Brilliant, CV.",Jl. Peltu Sujono 3,23,3,26,Perdagangan
613,"Buana Inti Graha Malang, PT.",Jl. Peltu Sujono 9A,12,3,15,Perdagangan
614,"Budi Jaya, PT.","Jl. Sartono, SH 3",10,0,10,Perdagangan
615,"Buku Siswa, Toko",Jl. Merdeka Timur 12 JK,2,16,18,Perdagangan
616,"Campina Ice Cream Ind. , PT.",Jl. Tenaga Baru I/10,24,3,27,Perdagangan
617,Cargo/ Oma mode,Jl. Suropati 10,9,38,47,Perdagangan
618,"Centerpoint Putra Sejahtera, PT.",Jl. Kawi 24,66,185,251,Perdagangan
619,"Coca Cola Distributor Indonesia, PT.",Jl. Satsui Tubun 8,0,0,0,Perdagangan
620,"Cussons Indonesia, PT.",Jl. Tenaga Baru III/9,0,0,0,Perdagangan
621,CV. Avan Satria Grosirindo,Jl. Danau Toba B.12 A,0,22,22,Perdagangan
622,Dandees Resto,Jl. Veteran 6 Malang,0,0,0,Perdagangan
623,"Elizabeth Hanjaya, PT.",Jl. Raya Dieng 1 E-F,4,34,38,Perdagangan
624,"Feronika, UD",Jl. Puncak Mandala,12,12,24,Perdagangan
625,"Gadingmas Indah, PT.",Jl. Basuki Rachmad 17,10,2,12,Perdagangan
626,"Gatra Perdana Putra, PT.",Jl. Letjend. Sutoyo 4-6,19,4,23,Perdagangan
627,"Gramedia Asri Media, PT.",Jl. Veteran 2,23,18,41,Perdagangan
628,"Gramedia Asri Media, PT.",Jl. Basuki Rachmad 3,29,18,47,Perdagangan
629,"Gunungsari Intan, PT.",Jl. Jagung Suprapto 91,12,8,20,Perdagangan
630,Hartono Elektronik,Jl. Letjend. S. Parman 111,0,0,0,Perdagangan
631,"Hero Sakti Motor Gemilang, PT.",Jl. J. A. Suprapto 38,75,24,99,Perdagangan
632,"Hero Sakti Motor, PT.",Jl. Letjend. S. Parman 91,33,12,45,Perdagangan
633,"Hero Supermarket (Giant) , PT.",Jl. Kawi 24 (MOG),61,37,98,Perdagangan
634,"Hero Supermarket, PT.",Jl. Kawi Atas 58,28,16,44,Perdagangan
635,"Hero Supermarket, PT.",Plaza Araya PBI Megah 2,16,6,22,Perdagangan
636,"Home Center Ind MOG, PT.",Jl. Kawi Lt. 2,70,26,96,Perdagangan
637,Hotel Horison Ultima,Jl. Green Boulevard 2 Kota Araya,52,19,71,Perdagangan
638,Indocell,Jl. BS. Riyadi,14,13,27,Perdagangan
639,"Indofarma Global Medica, PT.",Jl. soekarno hatta 80,27,6,33,Perdagangan
640,"Interna, UD.",Jl. Simpang L. A. Sucipto 8,34,2,36,Perdagangan
641,"Istana Boneka, CV",Jl. Tenaga Baru IV/15,48,205,253,Perdagangan
642,Istana Buah,Jl. Terusan Borobudur 63,4,6,10,Perdagangan
643,Istana Buah,Jl. Jaksa Agung Suprapto 10,5,7,12,Perdagangan
644,Istana Buah,Jl. Kawi 24,6,9,15,Perdagangan
645,"Kartikasari Motor, UD.",Jl. Pasar Besar 28,0,0,0,Perdagangan
646,Kopkar Pt. Brantas Abipraya Usaha Braya (Kosabra),Jl. Surabaya 3,12,17,29,Perdagangan
647,"Kottalama makmur, PT.",Jl. Laks. Martadinata 113,9,7,16,Perdagangan
648,"Ksatriya, Tk.",Jl. Pasar Besar 149,1,4,5,Perdagangan
649,Laboratorium Klinik Ciliwung,Jl. Ciliwung 8 Malang,7,5,12,Perdagangan
650,"Lion Super Indo, PT.",Jl. Raya Langsep 3,27,7,34,Perdagangan
651,"Lion Superindo, PT.",Jl. Sulfat,32,0,32,Perdagangan
652,Malang Plaza,Jl. K. H. Agussalim 26-28,46,5,51,Perdagangan
653,"Marga Nusantara Jaya, PT",Jl. Panji Suroso 20 Malang,33,3,36,Perdagangan
654,Market Buah Lailai,Jl. Arjuno 36,20,10,30,Perdagangan
655,"Mason Naraji, PT.",Jl. Basuki Rachmad 43,12,7,19,Perdagangan
656,Mediatek Intratama,Jl.Kebonsari 2 / 30 D,4,1,5,Perdagangan
657,"Mega Mahadana Hadiya, PT",Jl. Raya Dieng No. 31,58,23,81,Perdagangan
658,"Merapi Utama Pharma, PT.",Jl. Karya Barat 5,32,5,37,Perdagangan
659,Mini Motor,Jl. Laks. Martadinata 79,8,0,8,Perdagangan
660,"Mitra Kencana Perkasa, PT.",Jl. MT. Haryono 1A Kav. A9-10,33,7,40,Perdagangan
661,"Mitra Pinasthika Mulia, PT.",Jl. Basuki Rahmad 71-73,30,2,32,Perdagangan
662,"Nipsea Paint, PT.",Jl. Tenaga Baru Kav. 5,24,64,88,Perdagangan
663,"Nusa Surya Ciptadana, PT",Jl. Sukarno Hatta D-150,100,24,124,Perdagangan
664,"Nusantara Surya Sakti, PT.",Jl. Sukarno Hatta D-510,100,24,124,Perdagangan
665,"Ongkowidjoyo, PT SPBU",Jl. Letjend. S. Parman 48-52,12,16,28,Perdagangan
666,Panca Ragam Baru,Jl. Kyai Tamin 46,23,5,28,Perdagangan
667,Pancaragam Anyar,Jl. Letjend. S. Parman 8-10,10,5,15,Perdagangan
668,"Permata Bumi, PT.",Jl. Pulosari 15,24,1,25,Perdagangan
669,Pilar,Jl. Kol. Sugiono 41,4,4,8,Perdagangan
670,"Pinus Merah Abadi, PT",Jl. Ciujung 1 Malang,30,6,36,Perdagangan
671,Plastik Berkat Ichtiar,Jl. Supriyadi 57C,5,9,14,Perdagangan
672,"Rahayu Sejati, CV",Gadang VI/ 24,2,1,3,Perdagangan
673,"Ramayana Lestari Sentosa, PT.",Jl. Merdeka Timur 1,63,145,208,Perdagangan
674,"Rasasari Jaya Makmur, PT.",Jl. Janti Barat,24,5,29,Perdagangan
675,"Ringgit, Fc.",Jl. B. S. Riyadi 26C,4,3,7,Perdagangan
676,"Royal ATK/ Royal Jaya, CV.",Jl. Ciliwung 2,54,36,90,Perdagangan
677,"Rubelan ABC, PT.",Jl. Galunggung 4,12,29,41,Perdagangan
678,"Rudy Haryanto, UD.",Jl. Ters. Sulfat,17,19,36,Perdagangan
679,"Sarana Indo Prima, PT.",Jl. Letjend. S. Parman 104 C,6,3,9,Perdagangan
680,"Sari Melati Kencana, PT.",Jl. Soekarno Hatta Kav. I/25,21,16,37,Perdagangan
681,Sari Melati Kencana/ Pizza Hut,Jl. Veteran 2 (Matows),15,7,22,Perdagangan
682,Savana Hotel & Convention,Jl. Letjen Sutoyo 32-34,100,31,131,Perdagangan
683,"Sepatu Top Lady, Tk.",Jl. Pasar Besar 29,2,6,8,Perdagangan
684,"Sinar Mas Baja Perkasa, PT.",Jl. Sultan Syahrir 90,32,11,43,Perdagangan
685,"Sitondi Utama Sentosa, PT",Jl.Letjen S.Parman 108,48,11,59,Perdagangan
686,"Sodosakti Jaya, PT.",Jl. Kalimosodo IX/21,3,4,7,Perdagangan
687,SPBU 58.651.49,Jl. Arjowinangun,3,3,6,Perdagangan
688,"Sumber Makmur, Tk.",Jl. Prof. M. Yamin 53,4,4,8,Perdagangan
689,"Sumber Urip, UD.",Jl. Letjen Sutoyo 8,8,3,11,Perdagangan
690,"Surya Cipta Perkasa, CV.",Jl. Sukarno Hatta 8B,0,0,0,Perdagangan
691,"Swakarya Insan Mandiri, PT.",Jl. Letjend. S. Parman 58A,94,28,122,Perdagangan
692,"Tegas, Toko",Jl. Sersan Harun 40,0,0,0,Perdagangan
693,"Tempo Cab. Malang, PT.",Jl. Tlogomas 26-27,39,7,46,Perdagangan
694,"Tirta Bahagia, PT.",Jl. Karya Timur 6 A,0,0,0,Perdagangan
695,Tk. Cat 73,Jl. Laks. Martadinata 73,5,6,11,Perdagangan
696,Tk. Obat Alam Jaya,Jl. Pasar Besar 110,0,3,3,Perdagangan
697,Toga Mas,Jl. Raya Dieng 27,28,16,44,Perdagangan
698,"Togamas Semesta Abadi, PT",Jl. Raya Dieng No. A-2 Malang,28,16,44,Perdagangan
699,Toko Cargo,Jl.Suropati 10,9,38,47,Perdagangan
700,Tralala Karaoke Keluarga,Jl. Sumbersari 89,8,3,11,Perdagangan
701,"Tritungga Setya, CV. (Niki Kopi Tiam)",Jl. Raya Bondowoso 8,15,15,30,Perdagangan
702,Tunggal Jaya,Jl. Simp. Panji Suroso I/2A,0,0,0,Perdagangan
703,UD. usaha jaya,Jl. Taman Borobudur utara 1a Malang,10,40,50,Perdagangan
704,"Ultra Bintang Jaya Putra, PT.",Jl. Tenaga Selatan 28,34,2,36,Perdagangan
705,"Unggul, CV.",Jl. R. Intan 53 I,9,8,17,Perdagangan
706,"Unirama Duta Niaga, PT",Jl. Sonokembang 12 A,13,7,20,Perdagangan
707,Variety Dept. Store,Jl. Agus Salim 26-28,7,33,40,Perdagangan
708,"Wahana Wirawan, PT.",Jl. S. Parman 45,21,4,25,Perdagangan
709,"Waru Agung, Tk.",Jl. Letjend. Sutoyo 74,2,5,7,Perdagangan
710,"Smart Mulia Abadi, PT",Jl.Letjen S.Parman 56 A,3,17,20,Perdagangan Otomotif
711,"Kharisma Malang Permai, PT.",Jl. Simp. Pattimura 11,10,1,11,Perdagangan/ Agen LPG
712,Apotik Airlangga,Jl. Kyai Tamin 42,3,4,7,Perdagangan/ Apotik
713,Apotik Pelita Sari,Jl. Letjen Sutoyo 31A,5,7,12,Perdagangan/ Apotik
714,Apotik Sejati,Jl. Merdeka Timur 2,10,20,30,Perdagangan/ Apotik
715,Apotik Wijaya Kusuma,Jl. Letjend. S. Parman 26,6,9,15,Perdagangan/ Apotik
716,Lab. Dan Apotik Higina,Jl. Kaliurang 30,0,0,0,Perdagangan/ Apotik
717,"Makmur Utama, PT.",Jl. Satsui Tubun 44,2,4,6,Perdagangan/ Automotif
718,"Promotor Aga Persada, CV.",Jl. R. P. Suroso 15,7,5,12,Perdagangan/ Automotif
719,"Sonokembang Wahana Jaya, PT.",Jl. Bend. Sigura-gura V/32,53,16,69,Perdagangan/ Catering
720,"Mandalasena Perkasa, PT.",Jl. Letjend. Sutoyo 75,20,10,30,Perdagangan/ Dealer Mobil
721,"Plaza Araya Sentra Niaga, PT.",Jl. Blimbing Indah Megah 2,24,4,28,Perdagangan/ Department Store
722,"Mitra Agung Santosa, PT.",Jl. K. H. Agus Salim 10-16,23,95,118,Perdagangan/ Dept. Store
723,"Sarinah, PT.",Jl. Basuki Rachmad 2A,25,18,43,Perdagangan/ Dept. Store
724,"Hero Property Nusantara, PT.",Jl. J. Agung Suprapto 59,8,6,14,Perdagangan/ Developer
725,"Intermas Tata Trading, PT",Jl.Tenaga Baru III/18,41,8,49,Perdagangan/ Distributor
726,"Catur Sentosa Adi Prana, PT.",Jl. Tenaga Baru IV/18,66,13,79,Perdagangan/ Distributor Bahan Bangunan
727,"Sentosa Adi Prasa, PT",Jl. Tenaga baru IV/8 Malang,65,12,77,Perdagangan/ Distributor Bahan Bangunan
728,"Anugerah Pharmindo Lestari (APL) , PT.",Jl. Taman Tenaga Kav. 6,52,16,68,Perdagangan/ Distributor Farmasi
729,"Sinar Intermark, PT.",Jl. R. Panji Suroso 20,33,3,36,Perdagangan/ Distributor Makanan dan Minuman
730,"Supralita Mandiri, PT.",Jl. Kol. Sugiono 547,5,5,10,Perdagangan/ Distributor Minuman
731,"Surya Madistrindo, PT.",Jl. Laks. Martadinata 76-78,108,26,134,Perdagangan/ Distributor Rokok
732,Doos Jaya,Jl. Simpang Adi Sucipto,10,13,23,Perdagangan/ Doos
733,"Molex Ayus, PT.",Jl Hamid Rusdi 93,9,0,9,Perdagangan/ Farmasi
734,Rekso Nasional Food (Mc. Donald),Jl. MT. Haryono 115,23,10,33,Perdagangan/ Fastfood
735,"Anugerah Lestari Jaya (Glamour FO) , CV.",Jl. Letjen Sutoyo 23,1,9,10,Perdagangan/ FO
736,Okabawes Furniture,Jl. J. A. Suprapto 42,4,6,10,Perdagangan/ Furniture
737,"Sentra Multigas Utama, PT.",Jl. L. A. Sucipto 110,18,4,22,Perdagangan/ Gas Oksigen
738,"Export Leaf Indonesia, PT",Jl. Peltu Sujono 8,11,4,15,Perdagangan/ Gudang Tembakau
739,"Aloita Prima, PT. (Harir Hotel Convention Malang)",Jl. A. Yani Utara Riverside C-1,218,44,262,Perdagangan/ Hotel
740,Atria Hotel and Conference,Jl. S. Parman 87-89,22,20,42,Perdagangan/ Hotel
741,Dewarna Hotel,Jl. Zainul Arifin 55,11,3,14,Perdagangan/ Hotel
742,"Guesthouse Univ. Brawijaya, PT.",Jl. M. T. Haryono 169,0,0,0,Perdagangan/ Hotel
743,Hotel Aloha,Jl. Gajahmada 7,13,3,16,Perdagangan/ Hotel
744,Hotel Amaris,Jl.Letjen Sutoyo 39,26,11,37,Perdagangan/ Hotel
745,Hotel Armi,Jl. Kaliurang 63,15,7,22,Perdagangan/ Hotel
746,Hotel Gajahmada Graha,Jl. Dr. Sucipto 17,63,14,77,Perdagangan/ Hotel
747,Hotel Griyadi Montana,Jl. C. Panggung 2,37,10,47,Perdagangan/ Hotel
748,Hotel Kartika Graha,Jl. J. A. Suprapto 17,100,35,135,Perdagangan/ Hotel
749,Hotel Kartika Kusuma,Jl. Kahuripan 12,11,3,14,Perdagangan/ Hotel
750,Hotel Malang Regent’s Park,Jl. J. A. Suprapto 12-16,119,25,144,Perdagangan/ Hotel
751,Hotel Malinda,Jl. Zainul Arifin 39,6,1,7,Perdagangan/ Hotel
752,Hotel Mandala Puri,Jl. P. Sudirman 81,17,2,19,Perdagangan/ Hotel
753,Hotel Megawati,Jl. Panglima Sudirman 90,10,3,13,Perdagangan/ Hotel
754,Hotel Menara,Jl. Pajajaran 5,14,2,16,Perdagangan/ Hotel
755,Hotel Mutiara,Jl. J. Agung Suprapto 30-32,26,4,30,Perdagangan/ Hotel
756,Hotel Nugraha,Jl. R. P. Suroso 16,15,0,15,Perdagangan/ Hotel
757,Hotel Pajajaran,Jl. Letjend. Sutoyo 178,17,9,26,Perdagangan/ Hotel
758,Hotel Palem I,Jl. Hasanudin 10,8,10,18,Perdagangan/ Hotel
759,Hotel Palem II,Jl. H. Tamrin 15,10,8,18,Perdagangan/ Hotel
760,Hotel Pelangi,Jl. Merdeka Selatan 3,46,28,74,Perdagangan/ Hotel
761,Hotel Pelangi Dua,Jl. Simpang Gajayana 575 B,14,6,20,Perdagangan/ Hotel
762,Hotel Pinus,Jl. Simpang Tenaga II/11,28,0,28,Perdagangan/ Hotel
763,Hotel Riche Malang,Jl. Basuki Rachmad 1,13,7,20,Perdagangan/ Hotel
764,Hotel Santoso,Jl. K. H. Agussalim 24,22,6,28,Perdagangan/ Hotel
765,Hotel Tosari,Jl. K. H. A. Dahlan 31,22,6,28,Perdagangan/ Hotel
766,Hotel Trio Indah,Jl. Jagung Suprapto 18-20,30,18,48,Perdagangan/ Hotel
767,Hotel Trio Indah 2,Jl. B. S. Riadi 1-3,26,9,35,Perdagangan/ Hotel
768,Hotel Wilis Indah,Jl. Dr. Wahidin 40,13,3,16,Perdagangan/ Hotel
769,"Kharisma Montana, PT.",Jl. Kahuripan 9,46,14,60,Perdagangan/ Hotel
770,"Mitra Abadi Hotelindo, PT. (Hotel Aria)",Jl. Kawi 24 (MIOG),110,34,144,Perdagangan/ Hotel
771,"Mitra Anugerah Jaya, PT. (Hotel Savana)",Jl. Letjend. Sutoyo 32-34,102,24,126,Perdagangan/ Hotel
772,"Ollino Garden Hotel, CV.",Jl. Aries Munandar 41-45,25,20,45,Perdagangan/ Hotel
773,"Splindid Inn (Hotel) , PT.",Jl. Mojopahit 2-4,6,14,20,Perdagangan/ Hotel
774,Swiss Belian Malang,Jl. Veteran 8A,27,18,45,Perdagangan/ Hotel
775,The Grand Palace Hotel,Jl. A. I. Suryani 23,46,9,55,Perdagangan/ Hotel
776,"Toegoe Respati (Hotel Tugu) , PT.",Jl. Tugu 3,94,36,130,Perdagangan/ Hotel
777,"Trinusa Emerald Abadi, PT. Hotel Royal Inn",Hotel Royal Inn Jl. Tenaga Baru I/5,30,4,34,Perdagangan/ Hotel
778,Dewarna Hotel,Jl. Letjend Sutoyo No. 22,23,10,33,Perdagangan/ Hotel
779,Everyday Smart Hotel / PT. Java Mitra Abadi,Jl. Sokarno Hatta No. 2,31,10,41,Perdagangan/ Hotel
780,Roda Jaya Knalpot,Jl. A. Yani Gg. Perusahaan 8,8,1,9,Perdagangan/ Knalpot
781,"Myoh Technology, Tbk, PT.",Jl. Bukit Dieng 3E kav. 1-2,28,5,33,Perdagangan/ Komputer
782,"Asia Paramita Indah, PT.",Jl. Karya Timur 66,22,11,33,Perdagangan/ Kosmetik
783,"Eddy Sentosa Jaya Karya, PT.",Jl. Halmahera 90A,14,4,18,Perdagangan/ LPG
784,"Mapalus Prima Utama, PT.",Jl. R. P. Suroso 5,14,1,15,Perdagangan/ LPG
785,"Mason Naraji, PT.",Jl. Industri Timur 36,18,1,19,Perdagangan/ LPG
786,"Seulawah, CV.",Jl. Simp. Pattimura 9,36,6,42,Perdagangan/ LPG
787,"Yakult Ind. Persada, PT.",Jl. Raya Tasikmadu 6,16,3,19,Perdagangan/ Minuman
788,Perdana Motor,Jl. Letjend. Sutoyo 11,25,10,35,Perdagangan/ Mobil
789,"Budikarsa Adiwidyajaya Oil, PT.",Jl. Sartono SH No. 3,10,0,10,Perdagangan/ Oli
790,Optik International,Jl. S. Wiryopranoto 25,21,26,47,Perdagangan/ Optik
791,"Astra International, PT.",Jl. S. Priyosudarmo 40,30,8,38,Perdagangan/ Otomotif
792,"Astra International, PT.",Jl. Letjend. Sutoyo 25,131,8,139,Perdagangan/ Otomotif
793,"Astra International, PT.",Jl. Supriyadi 35,94,3,97,Perdagangan/ Otomotif
794,"Astra International, PT.",Jl. A. Yani 175,69,15,84,Perdagangan/ Otomotif
795,Kartika Sari Motor,Jl. Puncak Borobudur 1,14,3,17,Perdagangan/ Otomotif
796,Sumber Alam,Jl. Arif Margono 46,0,0,0,Perdagangan/ Otomotif
797,"Interbat, PT.",Jl. Janti Barat Blok A 48,2,5,7,Perdagangan/ PBF
798,"Millenium Pharmacon, PT.",Jl. Hamid Rusdi 95,18,4,22,Perdagangan/ PBF
799,"Parit Padang Cab. Malang, PT.",Jl. Tenaga Baru I/11 A,51,18,69,Perdagangan/ PBF
800,"Rajawali Nusindo, PT.",Jl. Delima 7,19,5,24,Perdagangan/ PBF
801,Penerbit Airlangga Mahameru,Ruko Sukarno Hatta Indah C-10-11,30,2,32,Perdagangan/ Penerbit
802,"Nikijoyo, PT.",Jl. Raya Bandulan 147,21,49,70,Perdagangan/ Perhiasan Emas
803,"Grawita Santika, PT.",Jl. Letjen Sutoyo 79,63,24,87,Perdagangan/ Perhotelan
804,"Perkebunan Cengkeh, PT.",Jl. Bromo 25,12,0,12,Perdagangan/ Perkebunan
805,"Patra Trading, PT.",Jl. Halmahera 13,36,1,37,Perdagangan/ Pertamina
806,"Pertamina (Persero) , PT. Usaha Patra Lima Jaya",Jl. Halmahera 13,15,1,16,Perdagangan/ Pertamina
807,Apollo Star,Jl. Tlogomas 15,25,5,30,Perdagangan/ Plastik
808,Citra Plastik,LA. Sucipto 89,8,14,22,Perdagangan/ Plastik
809,"Makmur Jaya Kharisma, PT.",Jl. Kol. Sugiono 206,385,215,600,Perdagangan/ Plastik
810,Pasifik Plastik,Jl. LA. Sucipto 87,0,0,0,Perdagangan/ Plastik
811,"Cipta Selera Murni, PT.",Jl. Kawi 24,16,8,24,Perdagangan/ Restaurant
812,Batavia Resto,Jl. Jakarta 51 Malang,13,6,19,Perdagangan/ Restoran
813,"Biru Fast Food Nusantara, PT.",Jl. Kawi 24 (MOG),17,6,23,Perdagangan/ Restoran
814,Café Bunga Bali,Jl. Ungaran 22,9,6,15,Perdagangan/ Restoran
815,Dandee Resto,Jl. KH. Agus Salim A5-18,10,4,14,Perdagangan/ Restoran
816,Dandee Resto,Jl. Kawi 1-5,17,8,25,Perdagangan/ Restoran
817,Dandee Resto,Ruko Patimuram Jl.Pattimura,9,2,11,Perdagangan/ Restoran
818,Dandee Resto,Jl. K.H. Agussalim 15A,15,5,20,Perdagangan/ Restoran
819,"Fast Food Ind, Tbk. (KFC)",Jl. Veteran 2 (matos),10,12,22,Perdagangan/ Restoran
820,"Fast Food Indonesia, PT. (sarinah)",Jl. Kawi Atas 38,30,14,44,Perdagangan/ Restoran
821,"Gloria, RM.",Jl. K. H. Agus Salim 23,17,15,32,Perdagangan/ Restoran
822,Harmoni Resto Cafe,Jl. Bromo 44,16,19,35,Perdagangan/ Restoran
823,Hugo’s Cafe Resto,Jl. Raya Langsep 24,17,6,23,Perdagangan/ Restoran
824,Ikan Bakar 52,Jl. K. H. Agussalim 11,0,0,0,Perdagangan/ Restoran
825,Ikan Bakar Cianjur,Jl. Simpang Balapan 5,28,22,50,Perdagangan/ Restoran
826,KDS. Cantonese Restaurant,Jl. Araya Megah 1,54,21,75,Perdagangan/ Restoran
827,"Kertanegara, RM.",Jl. Kertanegara 1,25,15,40,Perdagangan/ Restoran
828,"Kertasari, RM",Jl. Letjend Sutoyo 80,10,6,16,Perdagangan/ Restoran
829,KFC Sarinah Malang,Jl. Basuki Rahmad 2A Malang,27,14,41,Perdagangan/ Restoran
830,Malibu Steak,Jl. Terusan kawi 6C-6D,0,0,0,Perdagangan/ Restoran
831,"Rekso Nasional Food, PT (Mc Donals Mitra I)",Jl. KH. Agus Salim 10-16,16,11,27,Perdagangan/ Restoran
832,"Rekso Nasional Food, PT.",Jl. Basuki Rachmad 2A,24,9,33,Perdagangan/ Restoran
833,Rest. New Hongkong,Jl. A. R. Hakim 7-9,13,3,16,Perdagangan/ Restoran
834,"Restaurant Oen, Tk.",Jl. Basuki Rachmad 5,21,11,32,Perdagangan/ Restoran
